Player Name,Position,Player URL
Nicolas Seiwald,MF,https://fbref.com/en/players/28c6e925/Nicolas-Seiwald
Lutsharel Geertruida,DF,https://fbref.com/en/players/242e1043/Lutsharel-Geertruida
Kevin Kampl,MF,https://fbref.com/en/players/b825a650/Kevin-Kampl
Antonio Nusa,MF,https://fbref.com/en/players/4ab12002/Antonio-Nusa
Benjamin Henrichs,DF,https://fbref.com/en/players/0a89e877/Benjamin-Henrichs
Arthur Vermeeren,MF,https://fbref.com/en/players/722494dc/Arthur-Vermeeren
Christoph Baumgartner,"MF,DF",https://fbref.com/en/players/437f2b00/Christoph-Baumgartner
Yussuf Poulsen,FW,https://fbref.com/en/players/d2416c2e/Yussuf-Poulsen
El Chadaille Bitshiabu,DF,https://fbref.com/en/players/2180c761/El-Chadaille-Bitshiabu
Mohamed Simakan,DF,https://fbref.com/en/players/fcb27134/Mohamed-Simakan
André Silva,FW,https://fbref.com/en/players/3effaa34/Andre-Silva
Elif Elmas,"FW,MF",https://fbref.com/en/players/cf007308/Elif-Elmas
Viggo Gebel,MF,https://fbref.com/en/players/92ed2acc/Viggo-Gebel
Maarten Vandevoordt,GK,https://fbref.com/en/players/f9e0c603/Maarten-Vandevoordt
Robert Sánchez,GK,https://fbref.com/en/players/6a713852/Robert-Sanchez
Levi Colwill,DF,https://fbref.com/en/players/700783e7/Levi-Colwill
Moisés Caicedo,MF,https://fbref.com/en/players/16264a81/Moises-Caicedo
Wesley Fofana,DF,https://fbref.com/en/players/132a82f1/Wesley-Fofana
Cole Palmer,"MF,FW",https://fbref.com/en/players/dc7f8a28/Cole-Palmer
Marc Cucurella,DF,https://fbref.com/en/players/1daec722/Marc-Cucurella
Nicolas Jackson,FW,https://fbref.com/en/players/9c36ed83/Nicolas-Jackson
Enzo Fernández,MF,https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez
Noni Madueke,FW,https://fbref.com/en/players/bf34eebd/Noni-Madueke
Malo Gusto,DF,https://fbref.com/en/players/d56b9520/Malo-Gusto
Jadon Sancho,FW,https://fbref.com/en/players/dbf053da/Jadon-Sancho
Pedro Neto,FW,https://fbref.com/en/players/7ba2eaa9/Pedro-Neto
Christopher Nkunku,FW,https://fbref.com/en/players/7c56da38/Christopher-Nkunku
Renato Veiga,"MF,DF",https://fbref.com/en/players/fc8fcbd1/Renato-Veiga
Tosin Adarabioyo,DF,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo
Axel Disasi,DF,https://fbref.com/en/players/ad82197c/Axel-Disasi
Mykhailo Mudryk,FW,https://fbref.com/en/players/049a888d/Mykhailo-Mudryk
Roméo Lavia,MF,https://fbref.com/en/players/ecad9aa5/Romeo-Lavia
João Félix,"MF,FW",https://fbref.com/en/players/8aafd64f/Joao-Felix
Kiernan Dewsbury-Hall,MF,https://fbref.com/en/players/5c74c0f5/Kiernan-Dewsbury-Hall
Marc Guiu,FW,https://fbref.com/en/players/d3d774cc/Marc-Guiu
Benoît Badiashile,DF,https://fbref.com/en/players/06df8256/Benoit-Badiashile
Cesare Casadei,MF,https://fbref.com/en/players/fb920f3a/Cesare-Casadei
Filip Jørgensen,GK,https://fbref.com/en/players/0107757e/Filip-Jorgensen
Emiliano Martínez,GK,https://fbref.com/en/players/7956236f/Emiliano-Martinez
Pau Torres,DF,https://fbref.com/en/players/532e1e4f/Pau-Torres
Youri Tielemans,MF,https://fbref.com/en/players/56f7a928/Youri-Tielemans
Morgan Rogers,"MF,FW",https://fbref.com/en/players/2e5915f1/Morgan-Rogers
Ezri Konsa,DF,https://fbref.com/en/players/0313a347/Ezri-Konsa
Ollie Watkins,FW,https://fbref.com/en/players/aed3a70f/Ollie-Watkins
Lucas Digne,DF,https://fbref.com/en/players/1b84dbe1/Lucas-Digne
Amadou Onana,MF,https://fbref.com/en/players/828657ff/Amadou-Onana
John McGinn,"FW,MF",https://fbref.com/en/players/90f91999/John-McGinn
Leon Bailey,"FW,MF",https://fbref.com/en/players/3a233281/Leon-Bailey
Jacob Ramsey,"FW,MF",https://fbref.com/en/players/1544f145/Jacob-Ramsey
Matty Cash,DF,https://fbref.com/en/players/2389cdc2/Matty-Cash
Diego Carlos,DF,https://fbref.com/en/players/b4a014b1/Diego-Carlos
Lamare Bogarde,DF,https://fbref.com/en/players/bca5c4a7/Lamare-Bogarde
Ross Barkley,MF,https://fbref.com/en/players/3a24769f/Ross-Barkley
Jaden Philogene Bidace,"FW,MF",https://fbref.com/en/players/19f4d211/Jaden-Philogene-Bidace
Jhon Durán,FW,https://fbref.com/en/players/414184f7/Jhon-Duran
Ian Maatsen,"DF,MF",https://fbref.com/en/players/cab9634e/Ian-Maatsen
Kosta Nedeljković,DF,https://fbref.com/en/players/c70be9cf/Kosta-Nedeljkovic
Emi Buendía,"MF,FW",https://fbref.com/en/players/66b76d44/Emi-Buendia
Joe Gauci,GK,https://fbref.com/en/players/5600c774/Joe-Gauci
